E1_P01_X,E1_P01_Y,E1_P02_X,E1_P02_Y,E1_P03_X,E1_P03_Y,E1_P04_X,E1_P04_Y,MEAN_X,MEAN_Y
2.18456194545062E-05,0.708921423347224,2.37202190250423E-05,0.697028238039357,2.54277480009067E-05,0.663234241176626,2.16711197710481E-05,0.578643570839717,3.64870333316018E-05,1.04554557021452
2.20987167425104E-05,0.717134790335097,2.3882920888391E-05,0.701809298155872,2.57253213089295E-05,0.670995872569774,2.19030490739369E-05,0.584836347282454,3.69608909073369E-05,1.05912408411341
2.22603467726725E-05,0.722379914707823,2.40618317719604E-05,0.707066666893018,2.59467133625472E-05,0.676770461443254,2.21605660509774E-05,0.591712343757063,3.7434748483072E-05,1.0727025980123
2.24489624844961E-05,0.728500762833466,2.42649032705761E-05,0.713034005083556,2.61979560301359E-05,0.683323646569339,2.23626430673556E-05,0.597108030162617,3.7908606058807E-05,1.08628111191118
2.26358738374779E-05,0.734566302090504,2.45046744376162E-05,0.720079777886842,2.64218356349179E-05,0.68916311846387,2.26119588667834E-05,0.60376504585778,3.83824636345421E-05,1.09985962581007
2.28108546785672E-05,0.740244679267305,2.47478097409286E-05,0.727224407196296,2.67365108571949E-05,0.697370820626739,2.29337730763079E-05,0.612357851643248,3.88563212102772E-05,1.11343813970896
2.29844152206217E-05,0.745876965720268,2.50114356924447E-05,0.734971162497869,2.69802908712908E-05,0.703729356689673,2.321031678541E-05,0.619741883526172,3.93301787860123E-05,1.12701665360785
2.31474655498186E-05,0.751168180816833,2.51998273236905E-05,0.740507126843307,2.72203395586404E-05,0.709990568221031,2.34166584141469E-05,0.625251439937038,3.98040363617474E-05,1.14059516750674
2.33125042976642E-05,0.75652392292677,2.54288944207735E-05,0.747238356217875,2.75163581471855E-05,0.717711647726022,2.36561328004393E-05,0.631645678696865,4.02778939374825E-05,1.15417368140563
2.35491261168646E-05,0.764202637518127,2.57457348915051E-05,0.756548841707932,2.7745212854296E-05,0.723680885662654,2.39231631435107E-05,0.638775692875633,4.07517515132176E-05,1.16775219530452
2.37431389650205E-05,0.770498630394353,2.59329032004701E-05,0.762048858232945,2.79964555218847E-05,0.730234070788739,2.41157267938581E-05,0.643917361577029,4.12256090889527E-05,1.18133070920341
2.39794767244139E-05,0.778168126840941,2.62589185883078E-05,0.771628952376189,2.82570265063393E-05,0.737030567243762,2.42984490310703E-05,0.648796253343089,4.16994666646877E-05,1.1949092231023
2.41411067545759E-05,0.783413251213668,2.64549559838088E-05,0.777389590599284,2.84955204742112E-05,0.743251226886964,2.44847797864321E-05,0.653771496652106,4.21733242404228E-05,1.20848773700119
2.43961924612289E-05,0.791691145214914,2.6685858064313E-05,0.784174741704489,2.87747480923976E-05,0.750534345999866,2.46753751541525E-05,0.658860609966435,4.26471818161579E-05,1.22206625090008
2.46407679550243E-05,0.799627967859761,2.69256292313531E-05,0.791220514507775,2.90797840539131E-05,0.758490626456164,2.49794748200335E-05,0.666980417268298,4.3121039391893E-05,1.23564476479897
2.48055226430629E-05,0.804974491824931,2.71179966600116E-05,0.796873309269595,2.93344471043526E-05,0.765133025736193,2.52268223368342E-05,0.673584877576395,4.35948969676281E-05,1.24922327869786
2.49617555368927E-05,0.810044471447075,2.72825335067815E-05,0.801708291116747,2.95968837521804E-05,0.771978184457005,2.55210805895798E-05,0.681441907942923,4.40687545433632E-05,1.26280179259675
2.51540640262068E-05,0.816285155454695,2.75278096240853E-05,0.808915829111946,2.98702034363518E-05,0.779107206394911,2.57956560160549E-05,0.68877338443878,4.45426121190983E-05,1.27638030649564
2.53614276852899E-05,0.823014401134995,2.7736997734105E-05,0.815062906404608,3.00657871466405E-05,0.784208633924995,2.60174158587038E-05,0.694694624715005,4.50164696948334E-05,1.28995882039453
2.55165243398918E-05,0.828047508178069,2.79862496488215E-05,0.822387274816188,3.02986841243929E-05,0.790283306770833,2.6313970441181E-05,0.702612969699778,4.54903272705684E-05,1.30353733429342
2.56900848819464E-05,0.833679794631032,2.82425356666527E-05,0.82991834319521,3.05760460792062E-05,0.797517763617946,2.66164298715394E-05,0.710688980845752,4.59641848463035E-05,1.31711584819231
2.59099471725359E-05,0.840814638681104,2.84550879129446E-05,0.836164276994041,3.07865550964803E-05,0.803008489274332,2.69165929721662E-05,0.718703677373482,4.64380424220386E-05,1.3306943620912
2.60579423319637E-05,0.845617292104989,2.86728392789301E-05,0.842562989029678,3.10157207474864E-05,0.808985837588595,2.71265431190527E-05,0.724309585327303,4.69118999977737E-05,1.34427287599009
2.62667262900817E-05,0.852392628509127,2.89618491677731E-05,0.851055661605068,3.1276291731941E-05,0.815782334043619,2.73676577408677E-05,0.730747620243021,5.87675657030763E-05,1.63590471622668
2.64757943080066E-05,0.859177183058032,2.91410658819128E-05,0.85632201729732,3.15166513631861E-05,0.822051655952608,2.76127089279368E-05,0.737290765932872,8.1969319117847E-05,2.20456630473524
2.66933841201405E-05,0.866238281949963,2.93826720323741E-05,0.863421711831243,3.17940133179993E-05,0.829286112799722,2.78544796439609E-05,0.743746319310945,9.6134251438746E-05,2.5142753996922
2.69140985901509E-05,0.873400780434338,2.96059283486233E-05,0.869982189058792,3.20340620053489E-05,0.83554732433108,2.81024832549706E-05,0.750368298081397,0.000105935628356771,2.69894566289769
2.71521407083861E-05,0.881125585749531,2.98019657441242E-05,0.875742827281887,3.23490481715214E-05,0.84376313687158,2.83209626265744E-05,0.756201946045842,0.000115176583909194,2.86755690395871
2.74245540632638E-05,0.889965786581597,3.00090130401525E-05,0.881826995888806,3.25405896111682E-05,0.848759129492456,2.85053250993091E-05,0.761124633967792,0.000123398474411864,3.00696656705512
