E1_Z05_X,E1_Z05_Y,E1_Z06_X,E1_Z06_Y,E1_Z07_X,E1_Z07_Y,E1_Z08_X,E1_Z08_Y,E1_Z09_X,E1_Z09_Y,MEAN_X,MEAN_Y
2.16450083085512E-05,0.734852042423512,2.24435232846462E-05,0.666229782744831,5.42521355740935E-05,1.74396753988196,7.15133592517386E-05,2.14366557815536,4.54812210054695E-05,1.2498963111791,0.000288222751191334,8.83332621553541
2.32324840666718E-05,0.788747138536359,2.3756652908635E-05,0.705209672533541,5.55431777496193E-05,1.78546886739488,7.29636213347606E-05,2.18713825150209,4.74498532396484E-05,1.30399745695248,0.000293660916308151,8.99999274790401
2.47215171048069E-05,0.839300086066409,2.54612317118018E-05,0.75580962296477,5.6852913902174E-05,1.82757112404698,7.42704596128926E-05,2.22631169073581,4.58762199982222E-05,1.26075151192012,0.000299099081424969,9.1666592802726
2.35572108773976E-05,0.799771673925298,2.69775538153096E-05,0.800821225322333,5.80657318544356E-05,1.86655788683794,7.56051273408336E-05,2.26631933821033,4.73869878150765E-05,1.30226981507005,0.000304537246541787,9.33332581264119
2.21661289522109E-05,0.752544184828054,2.56097598923237E-05,0.760218640933366,5.92822706849613E-05,1.90566425949944,7.72054102889017E-05,2.31428899740375,4.93703230268823E-05,1.3567750220602,0.000309975411658604,9.49999234500978
2.33753138973829E-05,0.793596237752254,2.69895803413327E-05,0.801178229421819,6.06551521458243E-05,1.94979636007972,7.85929979039871E-05,2.35588295744501,5.11194290089394E-05,1.40484323717192,0.000315413576775422,9.66665887737838
2.49717775516136E-05,0.847796474603301,2.8336885158373E-05,0.841172600366328,6.19366282835168E-05,1.99099018155089,7.99754755651697E-05,2.39732374285706,5.26939224727724E-05,1.44811282248458,0.00032085174189224,9.83332540974697
2.64497967596462E-05,0.897975500560748,2.97227525908166E-05,0.882311691885958,6.34510068014441E-05,2.03967079016496,8.14297700538971E-05,2.4409172905327,5.44314502649062E-05,1.49586285051699,0.000326289907009057,9.99999194211556
2.51442216584119E-05,0.853650983979237,2.83914941795574E-05,0.842793654059999,6.48151903881188E-05,2.08352329234621,8.31277791115374E-05,2.49181636178799,5.28012739640877E-05,1.45106301225584,0.000331728072125875,10.1666584744842
2.38695719419254E-05,0.810376389939714,2.99969931127811E-05,0.890452445948989,6.6036091737201E-05,2.12276990079151,8.47926292745364E-05,2.54172147077111,5.45609506054908E-05,1.49942172590368,0.000337166237242692,10.3333250068527
2.54394633758506E-05,0.863674494988135,3.1467762222966E-05,0.934111820295826,6.7273463084595E-05,2.16254594724203,8.65299256113362E-05,2.59379820713506,5.63033457894816E-05,1.54730551760805,0.00034260440235951,10.4999915392213
2.67368486993183E-05,0.907720967097083,3.28502383316538E-05,0.975150241307518,6.8748231934598E-05,2.20995327924874,8.80388625684847E-05,2.63902970301906,5.77798569362885E-05,1.58788239296474,0.000348042567476328,10.6666580715899
2.80364834979474E-05,0.951843809304536,3.41976358745648E-05,1.01514736479385,7.0209474233182E-05,2.25692579212158,8.9356571673676E-05,2.67852900329493,5.94475331710695E-05,1.63371278907137,0.000353480732593145,10.8333246039585
2.64157912041795E-05,0.896821005652163,3.57051542157153E-05,1.05989762990021,7.16989200559168E-05,2.30480492424744,9.0834227225716E-05,2.72282281603735,6.10360833303946E-05,1.67736867473954,0.000358918897709963,10.9999911363271
2.51911477361822E-05,0.855244133013918,3.71736349978658E-05,1.1034890758621,7.32126517994056E-05,2.35346474190804,9.26630939659962E-05,2.7776444426424,6.24844404787058E-05,1.7171718334262,0.000364357062826781,11.1666576686957
